Hidden Layers,Activation,Epochs,Learning Rate,Batch Size,Accuracy
[4],ReLU,25,0.1,256,86.82926829268293
[4],ReLU,25,0.1,512,88.29268292682927
[4],ReLU,25,0.01,16,86.34146341463415
[4],ReLU,25,0.01,32,86.82926829268293
[4],ReLU,25,0.01,64,87.3170731707317
[4],ReLU,25,0.01,128,81.95121951219512
[4],ReLU,25,0.01,256,83.90243902439025
[4],ReLU,25,0.01,512,83.90243902439025
[4],ReLU,25,0.001,16,85.36585365853658
[4],ReLU,25,0.001,32,84.8780487804878
[4],ReLU,25,0.001,64,84.39024390243902
[4],ReLU,25,0.001,128,79.02439024390245
[4],ReLU,25,0.001,256,76.09756097560975
[4],ReLU,25,0.001,512,51.21951219512195
[4],ReLU,25,0.0001,16,75.60975609756098
[4],ReLU,25,0.0001,32,69.26829268292683
[4],ReLU,25,0.0001,64,55.1219512195122
[4],ReLU,25,0.0001,128,51.707317073170735
[4],ReLU,25,0.0001,256,66.82926829268293
[4],ReLU,25,0.0001,512,40.0
[4],ReLU,50,10.0,16,53.65853658536585
[4],ReLU,50,10.0,32,64.8780487804878
[4],ReLU,50,10.0,64,48.78048780487805
[4],ReLU,50,10.0,128,64.39024390243902
[4],ReLU,50,10.0,256,48.78048780487805
[4],ReLU,50,10.0,512,74.14634146341463
[4],ReLU,50,1.0,16,63.90243902439025
[4],ReLU,50,1.0,32,61.46341463414634
[4],ReLU,50,1.0,64,51.707317073170735
[4],ReLU,50,1.0,128,80.97560975609755
[4],ReLU,50,1.0,256,87.8048780487805
[4],ReLU,50,1.0,512,83.41463414634147
[4],ReLU,50,0.1,16,84.39024390243902
[4],ReLU,50,0.1,32,86.82926829268293
[4],ReLU,50,0.1,64,89.7560975609756
[4],ReLU,50,0.1,128,87.8048780487805
[4],ReLU,50,0.1,256,88.78048780487805
[4],ReLU,50,0.1,512,89.26829268292683
[4],ReLU,50,0.01,16,88.78048780487805
[4],ReLU,50,0.01,32,89.26829268292683
[4],ReLU,50,0.01,64,87.3170731707317
[4],ReLU,50,0.01,128,88.78048780487805
[4],ReLU,50,0.01,256,88.29268292682927
[4],ReLU,50,0.01,512,83.41463414634147
[4],ReLU,50,0.001,16,84.8780487804878
[4],ReLU,50,0.001,32,84.8780487804878
[4],ReLU,50,0.001,64,85.36585365853658
[4],ReLU,50,0.001,128,82.92682926829268
[4],ReLU,50,0.001,256,80.48780487804878
[4],ReLU,50,0.001,512,68.78048780487805
[4],ReLU,50,0.0001,16,85.36585365853658
[4],ReLU,50,0.0001,32,77.5609756097561
[4],ReLU,50,0.0001,64,67.3170731707317
[4],ReLU,50,0.0001,128,52.68292682926829
[4],ReLU,50,0.0001,256,60.97560975609756
[4],ReLU,50,0.0001,512,45.853658536585364
[4],ReLU,100,10.0,16,58.53658536585366
[4],ReLU,100,10.0,32,58.53658536585366
[4],ReLU,100,10.0,64,71.70731707317073
[4],ReLU,100,10.0,128,61.951219512195124
[4],ReLU,100,10.0,256,60.48780487804878
[4],ReLU,100,10.0,512,68.78048780487805
[4],ReLU,100,1.0,16,53.65853658536585
[4],ReLU,100,1.0,32,48.78048780487805
[4],ReLU,100,1.0,64,64.8780487804878
[4],ReLU,100,1.0,128,79.02439024390245
[4],ReLU,100,1.0,256,74.14634146341463
[4],ReLU,100,1.0,512,76.58536585365853
[4],ReLU,100,0.1,16,84.8780487804878
[4],ReLU,100,0.1,32,90.73170731707317
[4],ReLU,100,0.1,64,84.8780487804878
[4],ReLU,100,0.1,128,88.78048780487805
[4],ReLU,100,0.1,256,91.70731707317073
[4],ReLU,100,0.1,512,91.70731707317073
[4],ReLU,100,0.01,16,91.70731707317073
[4],ReLU,100,0.01,32,82.92682926829268
[4],ReLU,100,0.01,64,90.73170731707317
[4],ReLU,100,0.01,128,89.7560975609756
[4],ReLU,100,0.01,256,91.21951219512195
[4],ReLU,100,0.01,512,86.82926829268293
[4],ReLU,100,0.001,16,89.7560975609756
[4],ReLU,100,0.001,32,85.85365853658537
[4],ReLU,100,0.001,64,85.85365853658537
[4],ReLU,100,0.001,128,86.34146341463415
[4],ReLU,100,0.001,256,83.41463414634147
[4],ReLU,100,0.001,512,83.41463414634147
[4],ReLU,100,0.0001,16,83.90243902439025
[4],ReLU,100,0.0001,32,77.5609756097561
[4],ReLU,100,0.0001,64,71.70731707317073
[4],ReLU,100,0.0001,128,76.09756097560975
[4],ReLU,100,0.0001,256,51.21951219512195
[4],ReLU,100,0.0001,512,64.8780487804878
[4],ReLU,250,10.0,16,56.58536585365854
[4],ReLU,250,10.0,32,60.48780487804878
[4],ReLU,250,10.0,64,62.926829268292686
[4],ReLU,250,10.0,128,62.926829268292686
[4],ReLU,250,10.0,256,72.1951219512195
[4],ReLU,250,10.0,512,58.53658536585366
[4],ReLU,250,1.0,16,55.609756097560975
[4],ReLU,250,1.0,32,51.21951219512195
[4],ReLU,250,1.0,64,49.75609756097561
[4],ReLU,250,1.0,128,83.41463414634147
[4],ReLU,250,1.0,256,73.17073170731707
[4],ReLU,250,1.0,512,84.8780487804878
[4],ReLU,250,0.1,16,77.07317073170732
[4],ReLU,250,0.1,32,81.95121951219512
[4],ReLU,250,0.1,64,92.6829268292683
[4],ReLU,250,0.1,128,90.2439024390244
[4],ReLU,250,0.1,256,93.17073170731707
[4],ReLU,250,0.1,512,90.2439024390244
[4],ReLU,250,0.01,16,91.21951219512195
[4],ReLU,250,0.01,32,89.7560975609756
[4],ReLU,250,0.01,64,88.78048780487805
[4],ReLU,250,0.01,128,89.7560975609756
[4],ReLU,250,0.01,256,86.34146341463415
[4],ReLU,250,0.01,512,92.6829268292683
[4],ReLU,250,0.001,16,86.34146341463415
